Cluster,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Class,Diam,Dist,E(B-V),Age,pmRA,e_pmRA,pmDE,e_pmDE,Nc,r_pmRA,RV,e_RV,o_RV,r_RV,[Fe/H],e_[Fe/H],o_[Fe/H],TrType
FSR 0634,3,40,24,+,59,25,10,IR,1.2,2301,1.149,8.952,26.81,0.34,-20.15,1.31,4,D14,,,0,,,,0,
Alessi Teutsch 10,3,44,26,+,29,40,0,,25.0,0,,,4.85,0.23,-3.35,0.18,201,D14,26.07,10.0,1,D14,,,0,
IC 348,3,44,34,+,32,9,48,,8.0,385,0.929,7.641,3.38,0.02,-7.37,0.02,33,D14,18.1,3.5,4,DL03,,,0,
Melotte 22,3,47,0,+,24,7,0,,120.0,133,0.03,8.131,19.88,0.25,-45.0,0.25,50,TYC,5.94,0.08,49,M09,-0.03,0.02,15,
Juchert 11,3,47,18,+,53,54,35,,5.0,3000,1.901,8.9,18.07,0.27,-17.76,0.67,6,D14,,,0,,,,0,
Tombaugh 5,3,47,48,+,59,3,0,,14.0,1750,0.8,8.3,-0.72,0.01,-1.75,0.07,304,D14,-5.8,0.3,1,K12,,,0,3-2-r-*
NGC 1444,3,49,25,+,52,39,30,,4.0,1199,0.712,7.964,2.34,0.98,-1.95,0.85,1,BDW,2.0,3.76,2,D14,,,0,
Majaess 36,3,51,37,+,51,31,0,IR,4.0,0,,,,,,,0,,,,0,,,,0,
Czernik 17,3,52,24,+,61,57,0,,8.0,7000,0.72,8.05,-2.3,0.79,1.81,0.02,37,D14,,,0,,,,0,4-1-p-*
Juchert 9,3,55,21,+,58,23,30,,3.0,4400,0.79,7.6,-0.35,0.33,0.92,0.02,28,D14,,,0,,,,0,
FSR 0654,3,55,35,+,54,1,14,IR,3.1,4000,1.42,8.508,1.3,0.9,-6.13,0.03,16,D14,,,0,,,,0,
FSR 0655,3,56,14,+,53,51,54,IR,1.4,1742,1.228,8.72,1.21,0.72,-2.24,0.72,2,K12,,,0,,,,0,
NGC 1520,3,57,51,-,76,47,42,,7.2,775,0.06,9.3,4.39,1.25,3.83,3.18,22,D14,,,0,,,,0,
FSR 0656,3,58,53,+,53,37,54,IR,1.5,1400,0.949,8.895,-0.1,0.11,-1.84,1.34,9,D14,,,0,,,,0,
King 7,3,59,0,+,51,48,0,,7.0,2200,1.25,8.82,0.83,0.23,-1.36,0.01,89,D14,,,0,,-0.17,0.06,1,
FSR 0647,3,59,11,+,57,13,37,IR,2.5,0,,,,,,,0,,,,0,,,,0,
Alicante 1,3,59,18,+,57,14,14,,2.0,3981,0.67,6.6,-1.76,1.0,1.36,1.0,2,K12,-32.4,0.0,1,K12,,,0,
NGC 1498,4,0,18,-,12,0,54,p,7.6,1020,0.04,9.2,2.07,2.41,-7.54,3.44,8,D14,,,0,,,,0,
Juchert 19,4,2,20,+,52,26,39,,2.0,1340,0.28,9.3,-4.65,0.51,-3.83,0.51,3,K12,,,0,,,,0,
FSR 0660,4,2,38,+,51,55,56,IR,2.6,5126,0.625,9.22,-4.81,0.39,0.71,0.39,7,K12,,,0,,-0.49,0.04,1,
Majaess 41,4,3,19,+,51,17,58,IR,25.0,0,,,0.19,0.09,0.05,0.09,345,D14,-24.2,1.3,1,D14,,,0,
Majaess 42,4,3,48,+,51,1,5,IR,2.0,0,,,,,,,0,,,,0,,,,0,
NGC 1496,4,4,32,+,52,39,42,,4.0,1230,0.45,8.8,0.48,0.29,1.4,0.01,52,D14,-14.43,0.18,1,MMU,,,0,
FSR 0665,4,5,12,+,51,31,20,IR,4.3,0,,,1.01,0.94,1.52,0.33,27,D14,,,0,,,,0,
Dolidze 14,4,6,43,+,27,32,34,,19.0,1670,0.32,9.1,1.71,0.21,-0.88,0.13,131,D14,,,0,,,,0,3-1-p-*
FSR 0667,4,7,9,+,51,10,18,IR,2.8,1818,0.937,8.08,-0.66,0.65,-1.05,0.65,2,K12,,,0,,,,0,
NGC 1502,4,7,50,+,62,19,54,v,8.0,1000,0.7,7.0,-0.55,0.1,-0.91,0.02,102,D14,-9.7,0.27,3,MMU,,,0,1-3-m-*
NGC 1513,4,9,57,+,49,30,54,,10.0,1320,0.67,8.11,1.11,0.13,-4.66,0.12,180,D14,-15.13,1.04,1,FM09,,,0,
Juchert 20,4,10,47,+,46,52,1,,5.0,2420,0.7,8.55,-0.09,0.53,-0.92,0.12,51,D14,,,0,,,,0,
FSR 0674,4,12,21,+,48,44,7,IR,2.0,3400,1.02,8.56,-2.37,0.43,-1.78,0.43,12,K12,,,0,,,,0,
NGC 1557,4,13,11,-,70,28,18,p,26.0,1055,0.11,9.48,2.86,0.51,5.71,0.77,120,D14,4.96,3.6,2,D14,,,0,
NGC 1528,4,15,23,+,51,12,54,,16.0,1090,0.26,8.6,0.9,0.07,-1.08,0.07,405,D14,-16.9,0.48,5,FM09,,,0,
SAI 36,4,16,50,+,41,4,0,,3.0,3000,0.55,9.1,0.86,0.08,-3.77,0.02,22,D14,,,0,,,,0,
Waterloo 1,4,18,36,+,52,51,30,d,5.0,4400,0.91,8.6,-0.94,0.68,-1.4,0.53,41,D14,,,0,,,,0,
IC 361,4,19,0,+,58,18,0,,6.0,1070,1.117,7.718,1.28,0.01,-2.52,0.01,139,D14,,,0,,,,0,
Mayer 2,4,19,45,+,53,10,0,,3.0,1589,1.06,7.4,-1.41,0.42,-5.88,0.97,20,D14,,,0,,,,0,3-1-p-n
Berkeley 11,4,20,36,+,44,55,0,,5.0,2200,0.95,8.041,0.87,0.46,-2.71,0.5,79,D14,,,0,,0.01,0.14,0,
NGC 1545,4,20,57,+,50,15,12,,18.0,711,0.303,8.448,-0.22,0.09,-1.52,0.1,377,D14,-12.42,0.66,3,MMU,-0.13,0.08,3,
NGC 1548,4,21,20,+,36,55,0,nf,30.0,2501,1.099,9.02,3.71,0.1,-2.39,0.17,377,D14,,,0,,,,0,
FSR 0671,4,22,30,+,51,50,40,IR,0.6,3501,1.399,7.9,-1.2,0.56,2.09,0.56,2,K12,,,0,,,,0,
FSR 0756,4,24,13,+,29,42,14,,4.2,1800,0.97,8.48,1.78,0.02,-2.72,0.66,23,D14,,,0,,,,0,
FSR 0662,4,24,30,+,54,58,1,IR,3.6,0,,,,,,,0,,,,0,,,,0,
FSR 0686,4,25,51,+,46,5,53,IR,1.3,1638,1.02,8.61,-1.64,1.92,-5.37,0.47,14,D14,,,0,,,,0,
Melotte 25,4,26,54,+,15,52,0,,330.0,45,0.01,8.896,,,,,0,,39.29,0.25,33,M09,0.13,0.05,55,
Czernik 18,4,28,0,+,30,56,0,,5.0,1052,0.27,9.0,0.1,0.02,-3.72,0.29,43,D14,,,0,,,,0,4-1-p-*
NGC 1582,4,31,39,+,43,44,36,d,24.0,1100,0.35,8.47,0.22,0.07,0.13,0.11,599,D14,5.53,1.0,3,K12,,,0,4-2-p-*
NGC 1605,4,34,53,+,45,16,12,,6.0,2559,0.97,7.61,-1.97,0.19,-2.04,0.1,91,D14,,,0,,,,0,
NGC 1641,4,35,32,-,65,45,0,p,11.0,985,0.104,9.52,6.48,1.38,8.5,1.34,37,D14,,,0,,,,0,3-2-p-*
Berkeley 67,4,38,6,+,50,45,0,d,10.0,2450,0.79,9.0,-0.25,0.07,-1.07,0.01,101,D14,,,0,,,,0,3-1-m-*
FSR 0687,4,39,29,+,48,11,40,IR,1.5,0,,,,,,,0,,,,0,,,,0,
NGC 1624,4,40,36,+,50,27,42,,3.0,6000,0.92,6.6,-0.78,0.16,-0.54,0.3,149,D14,,,0,,,,0,2-1-p-n
Platais 3,4,41,37,+,71,14,12,,216.0,200,0.1,8.7,3.84,0.34,-21.35,0.55,3,PLA,7.0,3.7,1,K05,,,0,
FSR 0714,4,42,46,+,41,55,19,IR,2.6,1819,0.625,9.06,-1.42,0.39,-0.2,0.39,7,K12,,,0,,,,0,
FSR 0719,4,44,19,+,41,48,51,IR,2.6,3500,0.62,8.945,-3.32,0.42,0.26,0.42,11,K12,,,0,,,,0,
Berkeley 68,4,44,30,+,42,4,0,,12.0,1678,0.671,8.391,-0.63,0.14,0.05,0.16,238,D14,,,0,,,,0,
Berkeley 12,4,44,36,+,42,41,0,,4.0,3162,0.7,9.6,-0.78,0.4,1.41,0.55,40,D14,,,0,,0.07,,0,2-1-m-*
FSR 0723,4,44,57,+,41,30,45,IR,0.8,3103,0.75,8.965,0.13,0.39,-0.17,0.39,4,K12,,,0,,,,0,
FSR 0733,4,45,8,+,39,46,32,IR,3.9,1500,0.5,9.06,-0.76,0.47,0.12,0.47,5,K12,,,0,,,,0,
Majaess 50,4,45,27,+,41,58,33,IR,17.0,0,,,-1.06,0.07,-0.21,0.12,394,D14,,,0,,,,0,
NGC 1647,4,45,55,+,19,6,54,,40.0,540,0.37,8.158,-0.74,0.0,-0.57,0.04,656,D14,-7.02,0.22,2,MMU,,,0,
Alessi 2,4,46,2,+,55,12,24,,30.0,501,0.18,8.5,0.25,2.81,-1.09,2.81,23,AMD,,,0,,,,0,4-3-m-*
FSR 0717,4,46,6,+,42,8,3,IR,2.1,1700,0.45,9.05,-3.13,0.45,-1.48,0.45,2,K12,,,0,,,,0,
FSR 0721,4,46,21,+,41,57,7,IR,5.6,3662,0.874,8.8,-0.96,0.01,-0.15,0.3,69,D14,,,0,,,,0,
Ruprecht 148,4,46,30,+,44,44,0,,4.0,3028,0.702,7.724,-1.88,0.2,0.57,0.01,48,D14,,,0,,,,0,
NGC 1662,4,48,27,+,10,56,12,,20.0,437,0.304,8.625,0.79,0.23,-2.17,0.15,151,D14,-13.35,0.29,2,MMU,-0.095,0.01,2,
NGC 1663,4,48,58,+,13,8,54,cr,12.0,700,0.2,9.3,2.18,0.3,-2.9,0.32,45,D14,,,0,,,,0,4-2-p-*
ASCC 12,4,49,55,+,41,43,48,,30.0,500,0.15,8.42,-1.83,0.45,-2.1,0.45,3,K12,,,0,,,,0,
ESO 485 20,4,50,4,-,25,57,24,d,5.0,0,,,-3.53,1.51,3.21,2.04,9,D14,,,0,,,,0,4-2-p-*
NGC 1664,4,51,6,+,43,40,30,,9.0,1199,0.254,8.465,1.96,2.93,-5.1,2.34,1,BDW,7.5,0.05,2,MMU,,,0,
FSR 0702,4,51,40,+,45,45,53,IR,0.4,2501,0.999,8.9,-2.75,0.43,-4.91,0.43,5,K12,,,0,,,,0,
FSR 0735,4,53,53,+,40,51,42,IR,6.0,2500,0.51,8.7,-0.13,0.26,-1.66,0.2,118,D14,,,0,,,,0,
Teutsch 5,4,55,43,+,36,46,55,,3.2,2325,0.77,9.35,-0.9,0.03,-1.72,1.57,13,D14,,,0,,,,0,
Berkeley 13,4,55,52,+,52,48,0,,8.8,2470,0.66,9.0,-5.56,0.01,3.25,0.01,69,D14,,,0,,,,0,3-1-p-*
FSR 0699,4,56,7,+,47,23,4,IR,1.0,0,,,-1.55,0.03,0.73,0.03,10,D14,,,0,,,,0,
Czernik 19,4,57,9,+,28,46,47,,8.0,2500,0.67,7.4,4.39,0.26,-1.93,0.16,98,D14,,,0,,,,0,2-1-m-*
Skiff J0458+43.0,4,58,14,+,43,0,48,,5.0,2125,0.18,8.95,-0.01,0.3,-0.78,0.49,78,D14,,,0,,,,0,
FSR 0696,4,58,35,+,47,59,9,IR,1.9,0,,,,,,,0,,,,0,,,,0,
NGC 1785,4,58,35,-,68,50,40,,6.0,3080,0.06,8.7,3.43,0.41,-1.78,0.53,108,D14,9.7,10.0,1,D14,,,0,
FSR 0744,4,59,30,+,38,0,42,IR,1.6,1250,0.7,8.85,-3.07,3.13,-8.08,2.73,19,D14,,,0,,,,0,
Berkeley 14,5,0,12,+,43,28,0,,5.0,5500,0.52,9.2,-0.78,0.16,-0.45,0.33,74,D14,-4.82,3.74,5,K12,,,0,
FSR 0759,5,1,10,+,35,47,41,IR,0.8,3801,0.999,9.2,6.24,0.47,-4.1,0.47,1,K12,,,0,,,,0,
FSR 0722,5,1,49,+,44,7,42,IR,0.7,2501,0.999,8.8,-1.25,0.4,-4.59,0.4,4,K12,,,0,,,,0,
Berkeley 15,5,2,5,+,44,30,0,,8.0,1202,0.23,9.4,-0.56,0.2,-1.2,0.16,108,D14,,,0,,0.0,,0,1-2-m-*
FSR 0753,5,2,14,+,36,47,24,IR,1.9,3001,1.099,8.3,3.09,0.47,-3.86,0.47,2,K12,,,0,,,,0,
FSR 0732,5,2,36,+,42,32,55,IR,2.5,2800,0.3,9.5,0.3,0.53,-1.05,0.53,2,K12,,,0,,,,0,
FSR 0734,5,3,22,+,42,24,49,IR,1.3,1193,0.05,8.35,-2.11,0.02,1.93,1.3,26,D14,,,0,,,,0,
NGC 1708,5,3,27,+,52,50,0,n,20.0,630,0.3,8.755,-3.21,0.1,0.18,0.07,307,D14,,,0,,,,0,
NGC 1746,5,3,50,+,23,46,12,r,42.0,800,0.3,8.645,-1.58,0.06,-3.24,0.02,1245,D14,2.0,3.7,11,K12,,,0,3-2-p-*
NGC 1750,5,3,55,+,23,39,30,,20.0,630,0.34,8.3,-3.14,0.92,-2.91,0.55,3,BDW,,,0,,,,0,
NGC 1758,5,4,35,+,23,47,54,,9.0,760,0.34,8.6,-0.61,0.22,-3.57,0.07,113,D14,,,0,,,,0,
Bica 6,5,6,20,+,39,9,50,,7.0,1600,0.42,9.0,-1.56,0.21,0.68,0.2,71,D14,57.1,1.2,11,TRB,,,0,
Dolidze 15,5,6,35,+,34,51,24,d,16.5,0,,,1.78,0.05,-2.28,0.17,255,D14,,,0,,,,0,
SAI 41,5,7,5,+,38,25,5,,2.0,5200,0.51,9.3,-2.68,0.43,-2.17,0.43,4,K12,,,0,,,,0,
Skiff J0507+30.8,5,7,14,+,30,50,34,,6.0,8701,0.1,9.1,-1.29,0.01,-0.95,0.01,79,D14,,,0,,,,0,
Platais 4,5,7,22,+,22,16,42,,204.0,276,,8.0,1.65,0.54,-6.49,0.29,5,PLA,16.26,1.02,4,D14,,,0,
NGC 1778,5,8,4,+,37,1,24,,8.0,1469,0.336,8.155,3.33,2.45,-3.21,1.47,1,BDW,4.95,0.08,1,MMU,,,0,
SAI 43,5,8,17,+,49,52,8,,2.0,3840,0.18,8.95,0.04,0.78,-2.72,0.78,2,K12,,,0,,,,0,
King 17,5,8,22,+,39,4,8,,6.5,4710,0.56,8.4,1.63,0.26,-1.07,0.01,110,D14,,,0,,,,0,2-2-m-*
Teutsch 132,5,10,1,+,38,49,31,,5.0,5370,0.75,6.7,-1.92,0.27,-2.24,0.01,59,D14,,,0,,,,0,
NGC 1802,5,10,14,+,24,6,30,n,25.0,2100,0.581,9.15,1.99,0.05,-0.82,0.09,488,D14,,,0,,,,0,
NGC 1790,5,11,2,+,52,7,6,n,15.0,0,,,0.2,0.21,0.27,0.14,169,D14,,,0,,,,0,
FSR 0716,5,11,10,+,45,42,46,IR,5.1,4500,0.416,8.805,3.21,0.2,-1.74,0.27,108,D14,,,0,,,,0,
NGC 1798,5,11,39,+,47,41,30,,5.0,3470,0.47,9.25,0.9,0.59,-0.16,0.3,86,D14,-2.0,10.0,6,RC12,-0.12,0.07,5,1-1-m-*
NGC 1817,5,12,15,+,16,41,24,,16.0,1972,0.334,8.612,-1.79,0.11,-2.17,0.1,308,D14,65.31,0.09,31,MMU,-0.16,0.03,28,
Collinder 464,5,12,39,+,73,58,29,,120.0,0,,,1.81,0.03,0.57,0.05,5212,D14,,,0,,,,0,3-3-m-*
ASCC 13,5,13,19,+,44,34,48,,84.0,800,0.2,7.71,-1.34,0.28,-4.02,0.28,6,K12,-8.41,0.67,2,D14,,,0,
Dolidze 16,5,14,44,+,32,41,19,OC,19.8,868,0.333,7.6,0.49,0.17,-4.12,0.14,245,D14,-8.4,0.5,1,D14,,,0,4-2-p-n
ESO 252 14,5,16,0,-,45,14,12,d,3.0,2180,0.958,8.655,1.3,0.04,8.63,1.51,11,D14,,,0,,,,0,
Melotte 31,5,18,10,+,33,22,25,,135.0,0,,,0.34,0.02,-3.66,0.02,14341,D14,-4.79,1.02,10,D14,,,0,
NGC 1901,5,18,11,-,68,27,0,,10.0,460,0.03,8.78,-0.03,0.38,0.9,0.54,190,D14,0.5,0.48,6,CMVB,-0.018,0.092,1,
Kronberger 18,5,18,36,+,37,37,30,,4.0,3250,1.29,8.0,-1.55,0.49,-5.74,0.22,45,D14,,,0,,,,0,
SAI 46,5,19,37,+,36,30,32,,3.0,4290,0.78,9.45,-1.27,0.24,-8.97,0.78,24,D14,,,0,,,,0,
NGC 1857,5,20,6,+,39,20,36,,8.0,2490,0.47,8.5,-1.94,0.01,-3.84,0.01,163,D14,,,0,,-0.36,0.19,0,1-3-m-*
ESO 486 54,5,20,11,-,26,2,54,,5.0,2856,0.687,8.65,16.07,0.41,-16.62,0.76,4,D14,,,0,,,,0,4-2-p-*
ASCC 14,5,20,31,+,35,13,12,,26.4,1100,0.18,8.61,-1.27,0.08,-4.76,0.09,636,D14,-16.87,10.0,1,D14,-0.1,0.03,1,
Czernik 20,5,20,32,+,39,32,50,,36.0,3370,0.422,7.173,-0.67,0.05,-3.3,0.04,1626,D14,-29.97,10.0,1,D14,,,0,
Berkeley 17,5,20,36,+,30,36,0,,7.0,2700,0.58,10.0,3.6,0.33,-3.62,0.22,105,D14,-73.7,0.8,3,FJP,-0.1,0.09,3,
Berkeley 18,5,22,12,+,45,24,0,,12.0,5800,0.46,9.63,0.33,0.01,-4.52,0.06,234,D14,-5.5,2.2,4,YCF,-0.4,0.1,4,
ASCC 15,5,22,37,+,36,33,0,,24.0,1400,0.28,8.6,-2.24,0.09,-5.51,0.1,649,D14,,,0,,0.26,0.05,1,
NGC 1893,5,22,44,+,33,24,42,v,25.0,3500,0.56,6.18,-0.35,0.06,-3.97,0.1,681,D14,-4.56,3.19,4,D14,,,0,
Collinder 62,5,22,53,+,41,4,51,,35.0,1472,0.5,8.905,0.37,0.07,-0.88,0.07,1299,D14,,,0,,,,0,4-3-p-*
Dolidze 18,5,23,21,+,33,30,29,,14.3,0,,,-0.15,0.08,-3.77,0.15,319,D14,-12.0,8.41,2,D14,,,0,4-1-p-n
Dolidze 19,5,23,42,+,8,11,0,,23.0,1710,1.041,8.59,0.46,0.16,-4.22,0.26,188,D14,,,0,,,,0,4-1-p-*
Dol Dzim 2,5,23,54,+,11,28,0,,5.0,1220,0.65,8.9,4.04,0.02,-3.5,0.36,21,D14,,,0,,,,0,
SAI 47,5,23,58,+,42,18,52,,3.0,3860,0.6,8.5,-0.7,0.57,2.42,0.54,39,D14,,,0,,,,0,
Berkeley 19,5,24,6,+,29,36,0,,4.0,7870,0.32,9.4,3.36,0.01,-4.55,0.41,47,D14,,,0,,-0.5,,0,
SAI 48,5,24,17,+,33,30,2,,4.0,1800,0.31,9.35,0.75,0.58,-2.45,0.37,43,D14,,,0,,,,0,
Briceno 1,5,24,36,+,1,48,0,o,74.4,460,0.09,6.93,0.75,0.22,-0.18,0.29,29,K05,0.0,8.75,1,K05,,,0,
Berkeley 69,5,24,36,+,32,39,0,,3.0,2860,0.65,8.95,5.9,0.25,-12.51,0.06,4,D14,5.2,6.4,1,DL03,,,0,
ASCC 17,5,25,12,+,30,10,12,,30.0,2000,0.32,7.12,2.55,0.04,-3.74,0.07,901,D14,-16.0,6.1,1,D14,,,0,
FSR 0775,5,25,35,+,34,57,27,IR,6.3,1300,0.57,8.72,0.09,0.18,-5.19,0.28,63,D14,,,0,,,,0,
NGC 1896,5,25,42,+,29,19,42,n,20.0,2600,0.6,9.1,1.89,0.12,-4.35,0.1,517,D14,,,0,,,,0,
Berkeley 70,5,25,42,+,41,54,0,,6.0,4168,0.48,9.67,0.1,0.28,3.39,0.71,58,D14,-15.0,7.0,8,RCar,-0.01,0.14,8,3-1-m-*
Majaess 58,5,25,52,+,34,52,30,IR,14.0,0,,,-1.65,0.11,-4.46,0.14,243,D14,,,0,,,,0,
NGC 1883,5,25,54,+,46,29,24,,3.0,4800,0.35,9.0,1.02,0.25,-3.09,0.51,40,D14,-30.8,0.6,2,VBC2,-0.2,0.22,2,2-1-m-*
Collinder 65,5,26,6,+,16,42,1,o,220.0,580,0.27,8.8,1.16,0.22,-6.46,0.19,73,K05,19.48,4.57,11,K07,,,0,2-3-p-*
ASCC 18,5,26,10,+,0,49,12,o,74.4,500,0.06,7.12,0.89,0.28,-0.02,0.25,19,K05,24.4,10.5,2,K07,,,0,
SAI 49,5,26,25,+,50,47,3,,6.0,2720,0.47,9.05,-0.78,0.21,-1.8,0.32,55,D14,,,0,,,,0,
Czernik 21,5,26,41,+,36,0,49,,6.0,2300,0.72,9.55,-2.56,0.01,-4.73,0.55,76,D14,,,0,,,,0,4-1-m-n
Mamajek 3,5,27,11,+,6,16,0,,250.0,92,0.06,7.3,8.4,1.2,-32.3,2.9,12,MAM,18.0,0.5,0,MAM,,,0,
Dolidze 21,5,27,24,+,7,4,0,,12.0,3599,1.25,8.25,0.17,0.23,0.53,0.26,56,D14,,,0,,,,0,4-2-p-*
FSR 0777,5,27,31,+,34,44,1,IR,6.7,1000,0.4,7.625,-1.14,0.18,-4.54,0.12,77,D14,2.2,1.8,1,D14,,,0,
ASCC 19,5,27,47,-,1,58,48,o,96.0,350,0.01,7.64,1.43,0.05,-1.0,0.08,2412,D14,24.31,1.3,5,D14,,,0,
Dolidze 20,5,27,49,+,33,47,36,d,10.0,900,0.3,7.3,0.6,0.17,-3.03,0.22,147,D14,,,0,,,,0,-3-p-*
Waterloo 2,5,28,1,+,40,22,18,,4.0,550,0.171,8.33,0.68,0.24,-0.69,0.77,33,D14,,,0,,,,0,
NGC 1907,5,28,5,+,35,19,30,,7.0,1800,0.52,8.5,-1.88,2.8,-1.63,1.22,1,BDW,0.1,1.8,0,RGDZ,,,0,
Stock 8,5,28,7,+,34,25,24,v,12.0,2005,0.4,6.3,-1.07,0.07,-3.02,0.21,225,D14,-18.01,1.5,3,FM09,,,0,
Kronberger 1,5,28,21,+,34,46,30,,1.6,1900,0.52,7.5,-1.21,0.02,-4.13,0.4,24,D14,13.0,0.0,1,K12,,,0,
NGC 1912,5,28,40,+,35,50,54,,20.0,1400,0.25,8.5,0.56,0.03,-5.56,0.03,2579,D14,-44.98,0.11,1,MMU,-0.38,0.04,1,
ASCC 20,5,28,44,+,1,37,48,o,90.0,450,0.04,7.35,-0.09,0.21,0.51,0.19,30,K05,14.31,1.49,7,D14,,,0,
ASCC 21,5,28,59,+,3,39,0,o,96.0,500,0.03,7.11,0.52,0.25,-0.62,0.28,31,K05,18.57,2.12,9,D14,,,0,
Teutsch 52,5,30,18,+,38,13,53,,4.8,3240,1.22,8.7,-0.9,0.58,-2.27,1.45,28,D14,,,0,,,,0,
NGC 1931,5,31,25,+,34,14,42,,17.0,2300,0.74,6.3,-0.29,0.13,-3.48,0.18,279,D14,,,0,,,,0,
Berkeley 20,5,32,37,+,0,11,18,,2.0,8400,0.12,9.78,1.51,0.81,-4.11,0.81,13,D06,70.0,13.0,6,FJ02,-0.3,0.02,2,
FSR 0761,5,33,23,+,39,50,44,IR,0.8,3743,0.354,8.985,-2.95,0.36,-0.57,0.36,3,K12,,,0,,,,0,
Dol Dzim 3,5,33,42,+,26,29,0,,4.5,2530,0.77,8.6,-1.54,0.39,3.17,0.54,25,D14,,,0,,,,0,
FSR 0842,5,34,22,+,25,35,44,IR,1.2,3816,1.374,6.55,-1.95,0.03,2.06,1.53,11,D14,,,0,,,,0,
FSR 0763,5,34,39,+,39,8,12,IR,2.5,0,,,,,,,0,,,,0,,,,0,
Collinder 69,5,35,6,+,9,56,0,,70.0,400,0.12,6.7,0.45,0.45,-2.4,0.45,40,TYC,31.38,1.42,4,K07,,,0,
NGC 1981,5,35,8,-,4,20,35,oe,22.0,380,0.07,6.7,3.22,0.23,1.36,0.14,134,D14,20.06,2.12,5,D14,,,0,3-3-p-n
NGC 1977,5,35,16,-,4,49,12,oe,20.0,500,0.05,7.08,3.24,0.26,1.34,0.36,127,D14,8.97,2.24,4,D14,,,0,
Trapezium,5,35,16,-,5,23,24,oe,47.0,414,0.05,7.11,2.05,0.08,1.56,0.11,628,D14,31.98,3.32,33,D14,,,0,
NGC 1980,5,35,24,-,5,54,54,,20.0,550,0.05,6.67,0.73,0.01,-0.46,0.06,93,D14,28.54,0.84,6,D14,,,0,3-3-m-n
Collinder 70,5,35,30,-,1,6,0,o,140.0,387,0.042,6.98,0.15,0.22,-0.7,0.22,130,TYC,27.35,0.85,20,D14,0.144,0.08,1,
Dol Dzim 4,5,35,54,+,25,57,0,,12.0,1220,1.1,8.0,-1.11,0.01,1.39,0.01,84,D14,,,0,,,,0,
NGC 1960,5,36,18,+,34,8,24,,10.0,1330,0.22,7.4,-0.22,0.05,-5.66,0.07,199,D14,-17.83,0.99,8,FM09,,,0,
FSR 0807,5,36,34,+,31,51,20,IR,8.0,1300,1.7,6.7,-1.3,0.36,-5.03,0.59,63,D14,,,0,,,,0,
FSR 0814,5,36,49,+,31,12,42,IR,2.4,0,,,,,,,0,,,,0,,,,0,
Koposov 36,5,36,51,+,31,12,39,,9.0,1700,0.83,8.35,0.1,0.2,-3.99,0.18,108,D14,,,0,,,,0,
FSR 0815,5,37,42,+,31,19,27,IR,2.8,2153,1.041,8.655,1.39,0.63,-6.7,0.63,3,K12,,,0,,,,0,
NGC 1996,5,38,10,+,25,49,0,n,22.0,1400,0.15,8.45,-1.58,0.07,1.92,0.15,406,D14,,,0,,,,0,
FSR 0812,5,38,13,+,31,44,0,IR,10.0,3300,0.8,7.0,0.25,0.29,-6.03,0.35,88,D14,,,0,,,,0,
Majaess 61,5,38,23,+,27,26,59,IR,4.0,0,,,2.19,1.14,6.34,0.4,22,D14,,,0,,,,0,
Sigma Orionis,5,38,42,-,2,36,0,o,10.0,399,0.05,7.11,1.73,0.4,0.47,0.27,18,BDW,29.89,1.63,2,D14,,,0,3-1-p-*
Stock 10,5,39,0,+,37,56,0,,25.0,380,0.07,7.9,-1.49,0.12,-4.44,0.13,593,D14,-8.16,10.0,1,D14,,,0,4-2-p-*
NGC 2017,5,39,17,-,17,50,48,p,12.0,1120,0.06,9.2,1.02,0.53,-0.61,0.68,56,D14,22.0,7.6,1,D14,,,0,2-1-p-*
FSR 0816,5,39,17,+,31,30,5,IR,0.8,2100,0.999,8.75,1.32,0.36,-8.34,0.36,4,K12,,,0,,,,0,
FSR 0817,5,39,27,+,30,53,36,IR,1.2,1359,0.416,9.05,-0.78,0.55,-5.9,0.27,15,D14,25.0,7.4,1,D14,,,0,
Teutsch 1,5,39,29,+,33,20,46,,2.0,4300,0.4,8.3,,,,,0,,,,0,,,,0,
Koposov 27,5,39,30,+,33,21,0,,3.0,3700,0.45,8.65,-0.63,0.18,-6.44,0.44,31,D14,,,0,,,,0,
Berkeley 71,5,40,55,+,32,16,40,,6.2,3260,0.81,9.0,-0.23,0.18,-3.55,0.3,47,D14,,,0,,,,0,2-1-m-*
Teutsch 2,5,41,22,+,39,14,11,,5.6,3610,0.48,8.95,-0.74,0.29,-0.38,0.48,62,D14,,,0,,,,0,
FSR 0821,5,41,53,+,29,54,17,IR,9.9,1213,0.562,9.1,-0.15,0.36,-2.41,0.19,88,D14,,,0,,-0.21,0.07,1,
FSR 0855,5,42,22,+,22,49,34,IR,1.8,0,,,,,,,0,,,,0,,,,0,
FSR 0823,5,42,38,+,29,33,56,IR,8.1,1100,0.55,8.805,1.44,0.17,-4.71,0.21,71,D14,,,0,,,,0,
Teutsch 45,5,42,44,+,30,58,17,,4.0,6770,0.75,7.0,-0.8,0.6,-2.5,0.27,38,D14,,,0,,,,0,
FSR 0826,5,42,52,+,28,56,29,IR,10.0,2100,1.09,7.0,-0.57,0.01,-2.67,0.31,105,D14,,,0,,,,0,
