recno	ID	NameLit	SourceCat	TypeSourceCat	Sep	SepTidal	SepTidalLit	SepTidalData	pmRASep	pmRASigma	pmDESep	pmDESigma	PlxSep	PlxSigma	maxSigma	meanSigma
281	23	ASCC_51	Kharchenko+13	hipparcos	0.3447	0.08083444	0.76589383	0.08083444	0.537	0.10999178	0.4264	0.08502	0.1807	0.5822	0.582	0.2591
282	24	ASCC_52	Dias+02	position	0.2683	0.62696902	0.99387695	0.62696902								
283		ASCC_53	Kharchenko+13	position,hipparcos												
284		ASCC_53	Dias+02	position												
285		ASCC_53	Bica+18	position												
286		ASCC_54	Kharchenko+13	position,hipparcos												
287		ASCC_54	Dias+02	position												
288		ASCC_54	Bica+18	position												
289		ASCC_55	Kharchenko+13	position,hipparcos												
290		ASCC_55	Dias+02	position												
291		ASCC_55	Bica+18	position												
292		ASCC_56	Dias+02	position												
293		ASCC_56	Kharchenko+13	position,hipparcos												
294		ASCC_56	Bica+18	position												
295		ASCC_57	Dias+02	position												
296		ASCC_57	Kharchenko+13	position,hipparcos												
297		ASCC_57	Bica+18	position												
298	444	ASCC_58	Dias+02	position	0.3696	0.6770009	0.9239213	0.6770009								
299	444	ASCC_58	Bica+18	position	0.3696	0.6770009	0.9239213	0.6770009								
300	25	ASCC_58	Kharchenko+13	hipparcos	0.05832	0.03178455	0.18812055	0.03178455	1.212	0.25876335	1.22	0.2605	0.3481	1.51	1.51	0.6764
