ID,NameLit,SourceCat,TypeSourceCat,Sep,SepTidal,SepTidalLit,SepTidalData,pmRASep,pmRASigma,pmDESep,pmDESigma,PlxSep,PlxSigma,maxSigma,meanSigma
0,ASCC_34,Bica+18,position,,,,,,,,,,,,
0,ASCC_35,Bica+18,position,,,,,,,,,,,,
0,ASCC_35,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,ASCC_35,Dias+02,position,,,,,,,,,,,,
21,ASCC_36,Kharchenko+13,hipparcos,0.02249,0.05085021,0.08994762,0.05085021,0.5179,0.12978221,1.251,0.3331,0.1807,0.9522,0.952,0.4717
21,ASCC_36,Bica+18,position,0.02018,0.04562395,0.11004958,0.04562395,,,,,,,,
21,ASCC_36,Dias+02,position,0.02018,0.04562395,0.11208754,0.04562395,,,,,,,,
21,ASCC_36,Kharchenko+13,position,0.02249,0.05085021,0.08994762,0.05085021,,,,,,,,
0,ASCC_37,Dias+02,position,,,,,,,,,,,,
0,ASCC_37,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,ASCC_37,Bica+18,position,,,,,,,,,,,,
0,ASCC_38,Dias+02,position,,,,,,,,,,,,
0,ASCC_38,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,ASCC_38,Bica+18,position,,,,,,,,,,,,
0,ASCC_39,Dias+02,position,,,,,,,,,,,,
0,ASCC_39,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,ASCC_39,Bica+18,position,,,,,,,,,,,,
0,ASCC_4,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,ASCC_4,Bica+18,position,,,,,,,,,,,,
0,ASCC_4,Dias+02,position,,,,,,,,,,,,
0,ASCC_40,Bica+18,position,,,,,,,,,,,,
0,ASCC_40,Kharchenko+13,"position,hipparcos",,,,,,,,,,,,
0,ASCC_40,Dias+02,position,,,,,,,,,,,,
4268,ASCC_41,Kharchenko+13,position,0.06821,0.02652663,0.26235751,0.02652663,,,,,,,,
4268,ASCC_41,Cantat-Gaudin+20,gaia_dr2,0.06871,0.02671934,0.05059537,0.02671934,0.02318,0.0,0.0196,0.0,0.02661,0.0,0.0,0.0
111,ASCC_42,Kharchenko+13,hipparcos,0.08777,0.05264104,0.41794112,0.05264104,1.668,0.30631512,0.7353,0.1298,0.193,1.017,1.02,0.4842
111,ASCC_42,Kharchenko+13,position,0.08777,0.05264104,0.41794112,0.05264104,,,,,,,,
5326,ASCC_43,Dias+02,position,0.2157,0.6161893,0.6161893,0.86125647,,,,,,,,
5326,ASCC_43,Kharchenko+13,position,0.2099,0.83816348,0.99944555,0.83816348,,,,,,,,
